group_id,point_index,uuid,end_pos_x,end_pos_y,end_pos_z,end_pose_x,end_pose_y,end_pose_z,joint_j1,joint_j2,joint_j3,joint_j4,joint_j5,joint_j6,base_pos_x,base_pos_y,base_pos_z,key
3,99,17605775545201870215,-1652.92,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1652.92,-2072.51,100
3,100,17605775545201870215,-1655.14,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1655.15,-2072.51,100
3,101,17605775545201870215,-1657.37,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1657.38,-2072.51,100
3,102,17605775545201870215,-1659.6,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1659.6,-2072.51,100
3,103,17605775545201870215,-1661.83,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1661.83,-2072.51,100
3,104,17605775545201870215,-1664.05,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1664.06,-2072.51,100
3,105,17605775545201870215,-1666.28,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1666.29,-2072.51,100
3,106,17605775545201870215,-1668.51,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1668.51,-2072.51,100
3,107,17605775545201870215,-1670.73,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1670.74,-2072.51,100
3,108,17605775545201870215,-1672.96,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1672.97,-2072.51,100
3,109,17605775545201870215,-1675.19,-660.47,3870.8,0.0,136.0,-90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1675.2,-2072.51,100
3,110,17605775545201870215,-1677.42,-660.47,3870.8,0.0,136.0,-90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1677.42,-2072.51,100
3,111,17605775545201870215,-1679.64,-660.47,3870.8,0.0,136.0,-90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1679.65,-2072.51,100
3,112,17605775545201870215,-1681.87,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1681.88,-2072.51,60
3,113,17605775545201870215,-1661.87,-690.42,3703.27,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2427.12,1661.88,-1904.98,70
4,114,17605775545202600216,-1481.87,-690.42,3703.27,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2427.12,1481.88,-1904.98,0
4,115,17605775545202600216,-1481.87,-680.12,3850.46,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2416.83,1481.88,-2052.17,10
4,116,17605775545202600216,-1481.87,-651.07,3850.96,-180.0,44.0,90.0,1.57,0.65,-0.33,-0.0,-1.91,-3.14,2416.83,1481.88,-2052.17,11
4,117,17605775545202600216,-1481.87,-620.13,3851.5,-180.0,44.0,90.0,1.57,0.71,-0.41,-0.0,-1.88,-3.14,2416.83,1481.88,-2052.17,12
4,118,17605775545202600216,-1481.87,-680.12,3850.46,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2416.83,1481.88,-2052.17,20
4,119,17605775545202600216,-1481.87,-680.63,3879.5,-180.0,44.0,90.0,1.57,0.59,-0.28,-0.0,-1.9,-3.14,2416.83,1481.88,-2052.17,21
4,120,17605775545202600216,-1481.87,-681.16,3910.45,-180.0,44.0,90.0,1.57,0.58,-0.3,-0.0,-1.87,-3.14,2416.83,1481.88,-2052.17,22
4,121,17605775545202600216,-1481.87,-680.12,3850.46,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2416.83,1481.88,-2052.17,10
4,122,17605775545202600216,-1461.87,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1461.88,-2072.51,40
4,123,17605775545202600216,-1465.04,-660.47,3870.8,0.0,136.0,-90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1465.05,-2072.51,100
4,124,17605775545202600216,-1468.22,-660.47,3870.8,0.0,136.0,-90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1468.22,-2072.51,100
4,125,17605775545202600216,-1471.39,-660.47,3870.8,0.0,136.0,-90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1471.39,-2072.51,100
4,126,17605775545202600216,-1474.56,-660.47,3870.8,0.0,136.0,-90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1474.57,-2072.51,100
4,127,17605775545202600216,-1477.73,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1477.74,-2072.51,100
4,128,17605775545202600216,-1480.9,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1480.91,-2072.51,100
4,129,17605775545202600216,-1484.08,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1484.08,-2072.51,100
4,130,17605775545202600216,-1487.25,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1487.25,-2072.51,100
4,131,17605775545202600216,-1490.42,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1490.43,-2072.51,100
4,132,17605775545202600216,-1493.59,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1493.6,-2072.51,100
4,133,17605775545202600216,-1496.76,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1496.77,-2072.51,100
4,134,17605775545202600216,-1499.94,-660.47,3870.8,-180.0,44.0,90.0,1.57,0.6,-0.26,-0.0,-1.92,-3.14,2397.18,1499.94,-2072.51,100
